nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0002503,Harry Carey,1878,1947,"actor,writer,producer","tt0022495,tt0031679,tt0040724,tt0032247"
nm0002504,Herbert Beerbohm Tree,1852,1917,"actor,director,writer","tt0000247,tt0001658,tt1986989,tt0004728"
nm0002545,Preston Sturges,1898,1959,"writer,director,producer","tt0034240,tt0032554,tt0036891,tt0040919"
nm0002569,Carl Koch,1892,1963,"writer,cinematographer,director","tt0031885,tt0028950,tt0033177,tt0127284"
nm0002615,Siegmund Lubin,1851,1923,"producer,director,actor","tt0000472,tt0238498,tt0287024,tt0780034"
nm0002616,Anita Loos,1889,1981,"writer,producer,actress","tt0045810,tt0010185,tt0029516,tt0013540"
nm0002771,Edward J. Montagne,1885,1932,"writer,script_department,miscellaneous","tt0008730,tt0017739,tt0013105,tt0166997"
nm0002935,Moe Howard,1897,1975,"actor,writer,producer","tt0037813,tt0056579,tt0025688,tt0037132"
nm0003193,Harry Davenport,1866,1949,"actor,director,soundtrack","tt0031381,tt0037059,tt0031455,tt0032484"
nm0003226,Kenji Mizoguchi,1898,1956,"director,writer,assistant_director","tt0046478,tt0045112,tt0047445,tt0046851"
nm0003373,James P. Hogan,1890,1943,"director,writer,assistant_director","tt0025391,tt0029952,tt0017001,tt0016551"
nm0003377,Harry Langdon,1884,1944,"actor,writer,director","tt0016971,tt0017483,tt0034871,tt0017437"
nm0003407,Thomas Mann,1875,1955,"writer,archive_footage,archive_sound","tt0067445,tt0104881,tt0045980,tt0013901"
nm0003420,George Grossmith,1874,1935,"actor,writer,soundtrack","tt0024757,tt0024064,tt0021561,tt0023455"
nm0003422,Louis King,1898,1962,"director,miscellaneous,production_department","tt0022637,tt0046891,tt0027349,tt0030875"
nm0003424,Hank Mann,1887,1971,"actor,director,writer","tt0027977,tt0032553,tt0021749,tt0403878"
nm0003433,Carl Theodor Dreyer,1889,1968,"writer,director,editor","tt0058138,tt0048452,tt0023649,tt0019254"
nm0003471,Richard Wagner,1813,1883,"music_department,writer,composer","tt0409459,tt0458339,tt10548174,tt0080455"
