tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0024075,movie,Goodbye Again,Goodbye Again,0,1933,\N,66,"Comedy,Romance",nm0002031,"nm0354117,nm0778818,nm0548993",6.3,705
tt0024076,short,Goofy Goat,Goofy Goat,0,1931,\N,7,"Animation,Comedy,Family",nm0260567,nm0260567,5.4,94
tt0024077,movie,Gordon of Ghost City,Gordon of Ghost City,0,1933,\N,220,"Drama,Western",nm0853028,"nm0477437,nm0642150,nm0687741,nm0225458,nm0543168,nm0398464",6.6,73
tt0024078,movie,Grand Slam,Grand Slam,0,1933,\N,67,Comedy,"nm0226189,nm0337586","nm0312510,nm0091200,nm0381061",5.8,374
tt0024079,movie,The Great Jasper,The Great Jasper,0,1933,\N,85,"Drama,Romance",nm0747844,"nm0359748,nm0650338,nm0653617",6.4,36
tt0024081,movie,Gruß und Kuß - Veronika,Gruß und Kuß - Veronika,0,1933,\N,\N,Comedy,nm0091380,nm0777020,6.4,12
tt0024082,movie,Gun Law,Gun Law,0,1933,\N,59,Western,nm0172485,nm0236980,6.1,30
tt0024083,movie,Hallelujah I'm a Bum,Hallelujah I'm a Bum,0,1933,\N,82,"Comedy,Drama,Musical",nm0587277,"nm0372942,nm0067103",6.9,916
tt0024085,movie,The Bride Talks in Her Sleep,Hanayome no negoto,0,1933,\N,57,"Comedy,Drama",nm0331482,nm0299343,6.0,42
tt0024086,short,Handlebars,Handlebars,0,1933,\N,10,"Comedy,Short",nm0925028,\N,6.3,143
tt0024087,movie,Hans Westmar,Hans Westmar,0,1933,\N,95,Biography,nm0921195,nm0263912,5.8,1507
tt0024088,movie,Happy,Happy,0,1933,\N,80,"Comedy,Musical",nm0954673,"nm0045553,nm0353867,nm0490950,nm0526950,nm0577650,nm0639130,nm0940499",6.4,40
tt0024089,short,Happy Hoboes,Happy Hoboes,0,1933,\N,7,"Animation,Comedy,Family","nm0749354,nm0821707",\N,6.0,58
