nconst	tconst
nm11394480	tt27534307
nm11394480	tt4273800
nm0566202	tt1704573
nm0566202	tt0264150
nm0566202	tt1065073
nm12950880	tt8430054
nm1252453	tt0808399
nm2005691	tt9179096
nm0108978	tt0080057
nm0365244	tt0113277
nm0365244	tt0120696
nm0365244	tt3850214
nm0001806	tt2258345
nm0001806	tt0101410
nm0001806	tt0190590
nm0001806	tt0110932
nm0961737	tt0169102
nm0961737	tt0374887
nm0961737	tt0373856
nm0113005	tt0250494
nm0113005	tt0333780
nm0791156	tt0105265
nm0791156	tt0187078
nm0791156	tt0103855
nm1987892	tt0412019
nm0124918	tt0036872
nm0627639	tt1043726
nm0627639	tt1781769
nm0643679	tt1355631
nm0643679	tt0913425
nm0643679	tt1164999
nm0000804	tt0068361
nm0000804	tt0092603
nm0752761	tt0082010
nm0752761	tt0085959
nm0752761	tt0085780
nm0137001	tt0302886
nm0137001	tt11291274
nm0137001	tt13327038
nm0137001	tt6628394
nm3131124	tt3195644
nm2207582	tt4682788
nm0451454	tt0050634
nm0023569	tt0081534
nm0199931	tt0483726
nm0721622	tt0080801
nm5278146	tt3118452
nm0925096	tt0162222
nm0925096	tt1555064
nm3595946	tt4192740
nm10487217	tt6571548
nm8767546	tt2291540
nm2067806	tt3735246
nm2067806	tt8108274
nm2067806	tt0367110
nm2067806	tt15501640
nm9750555	tt14846026
nm0000144	tt0387564
nm0000144	tt0093779
nm0000144	tt0107977
nm0000144	tt0119468
nm0061543	tt0085811
nm0061543	tt0067992
nm2775497	tt1362058
nm1712318	tt0395125
nm0005777	tt0120647
nm0005777	tt0109456
nm0005777	tt0119874
nm0096685	tt6304046
nm0211869	tt0163978
nm0211869	tt0289043
nm0290047	tt0084777
nm0290047	tt0115907
nm0290047	tt0050371
nm0882588	tt0102926
nm0882588	tt0067116
nm0882588	tt0078754
nm0882588	tt0064665
nm0108825	tt3799694
nm0108825	tt0370263
nm0108825	tt1188729
nm0108825	tt0822847
nm0442773	tt0114134
nm0515255	tt0100332
nm2460649	tt3118452
nm1701437	tt0422401
nm9010808	tt3120280
nm9010808	tt7008872
nm9010808	tt1950235
nm1823283	tt0930083
nm11044461	tt3153634
nm0573505	tt0388795
nm0573505	tt0067328
nm0573505	tt0086425
nm7021363	tt2326612
nm0157851	tt0120812
nm0157851	tt0104558
nm0157851	tt0411477
nm0157851	tt0117786
nm2187457	tt0882977
nm2187457	tt0490204
nm3076907	tt2452200
nm3076907	tt4693358
nm0052424	tt0251736
nm0052424	tt0133152
nm0052424	tt0120770
nm3553443	tt6016744
nm0182537	tt0035015
nm1344335	tt1187064
nm1107138	tt21909764
nm7872007	tt1639084
nm0545004	tt0038348
nm0545004	tt0064040
nm0004365	tt0116367
nm0004365	tt0066026
nm0004365	tt0335438
nm0656238	tt0107688
nm0656238	tt0096787
nm0656238	tt0443489
nm4304940	tt6628102
nm2733636	tt0489037
nm0034066	tt0073312
nm0151163	tt0099426
nm0151163	tt0103285
nm0820520	tt1951264
nm0820520	tt2223990
nm0820520	tt0277434
nm0820520	tt0947810
nm0340948	tt2386237
nm10220243	tt4420704
nm1258970	tt1334512
nm1258970	tt0800039
nm1258970	tt1226229
nm1258970	tt1336608
nm7009590	tt4303340
nm0231152	tt0236027
nm0231152	tt0154420
nm0281424	tt0109831
nm0281424	tt0293508
nm0281424	tt0114388
nm0001283	tt0084434
nm0001283	tt0089092
nm0001283	tt0085750
nm0142420	tt0097474
nm0142420	tt0092086
nm0142420	tt0095016
nm0142420	tt0091875
nm0067817	tt0103074
nm0067817	tt0106308
nm0933505	tt0124298
nm0933505	tt0087928
nm1433641	tt0172156
nm1433641	tt1135985
nm1433641	tt1800741
nm0091283	tt0042208
nm0091283	tt0048445
nm0469656	tt20215234
nm0385644	tt0473308
nm0385644	tt0449089
nm0385644	tt1142988
nm6168634	tt27118357
nm6168634	tt7392212
nm2457309	tt0809504
nm2457309	tt0787524
nm11648250	tt0103994
nm4048274	tt0775489
nm5816161	tt3758542
nm5816161	tt2090465
nm0548775	tt0093773
nm0548775	tt0095016
nm0548775	tt0113492
nm0548775	tt0118615
nm0798123	tt0367652
nm0710796	tt0108308
nm0710796	tt0104990
nm0949385	tt0095253
nm0949385	tt0110759
nm2337585	tt4936450
nm0001506	tt0109456
nm0001506	tt0101316
nm0001506	tt0800320
nm0254153	tt0052561
nm0254153	tt0133093
nm0254153	tt0181689
nm0254153	tt0120184
nm5499293	tt13024674
nm5198386	tt9218128
nm5198386	tt13287846
nm0501973	tt0062994
nm9188176	tt0165623
nm0106998	tt1019452
nm0106998	tt3183660
nm1069467	tt0384819
nm1069467	tt0312843
nm6313265	tt2349144
nm7373491	tt10189514
nm0189030	tt0271263
nm0189030	tt2191701
nm0362181	tt0058083
nm0926375	tt1031280
nm0926375	tt1512235
nm0926375	tt0477071
nm0926375	tt0205271
nm0549393	tt2788732
nm0549393	tt0076538
nm1084937	tt1038988
nm1084937	tt1082868
nm0599998	tt0067140
nm0599998	tt0074084
nm2222628	tt1615160
nm2222628	tt5362988
nm2222628	tt6491178
nm2222628	tt1660648
nm1791910	tt6443346
nm1791910	tt0448115
nm1791910	tt10151854
nm0141953	tt0084787
nm0141953	tt0421054
nm0141953	tt0089941
nm9858133	tt6212478
nm0152571	tt2852458
nm0152571	tt6823148
nm0152571	tt0133385
nm0448712	tt0110005
nm0448712	tt0455538
nm0448712	tt2527338
nm0448712	tt1687901
nm1173295	tt1179933
nm1173295	tt1046173
nm1173295	tt0859163
nm1285750	tt1964418
nm1285750	tt0129167
nm1285750	tt3606756
nm1285750	tt1217209
nm0587900	tt0166924
nm0587900	tt0030993
nm0587900	tt0041716
nm14555899	tt34915705
nm7382412	tt3844362
nm0268185	tt0082934
nm0651769	tt0482527
nm0651769	tt0295178
nm0651769	tt0455499
nm0486213	tt0152930
nm9636680	tt8201852
nm0578039	tt0053146
nm0389459	tt0111255
nm0389459	tt0109456
nm0389459	tt0096487
nm0891090	tt0166396
